iter	Passed	Remaining
471	685	766
472	686	764
473	687	763
474	689	761
475	689	759
476	691	757
477	692	755
478	692	753
479	693	751
480	694	749
481	695	747
482	696	745
483	697	743
484	698	742
485	700	741
486	701	739
487	702	737
488	703	735
489	704	733
490	705	731
491	706	729
492	707	727
493	708	725
494	709	723
495	710	721
496	711	720
497	713	719
498	714	717
499	715	715
500	716	714
501	717	712
502	718	710
503	719	708
504	720	706
505	721	704
506	722	702
507	723	701
508	725	699
509	726	697
510	727	696
511	728	694
512	729	692
513	730	690
514	731	688
515	732	686
516	733	685
517	734	683
518	735	681
519	736	679
520	737	678
521	739	676
522	740	675
523	741	673
524	741	671
525	742	669
526	743	667
527	744	665
528	745	664
529	746	662
530	747	660
531	748	658
532	750	657
533	752	656
534	753	654
535	754	652
536	755	651
537	756	649
538	757	647
539	757	645
540	758	643
541	759	642
542	760	640
543	761	638
544	763	637
545	764	635
546	765	633
547	766	632
548	767	630
549	768	628
550	769	626
551	770	625
552	771	623
553	772	621
554	773	620
555	774	618
556	775	617
557	777	615
558	778	613
559	779	612
560	780	610
561	781	608
562	782	607
563	783	605
564	784	603
565	784	601
566	786	600
567	787	598
568	788	597
569	789	595
570	790	594
571	792	592
572	793	591
573	794	589
574	795	587
575	796	586
576	797	584
577	797	582
578	798	580
579	799	579
580	801	577
581	802	576
582	803	575
583	804	573
584	805	571
585	806	569
586	807	568
587	808	566
588	809	564
589	810	563
590	811	561
591	812	559
592	813	558
593	815	557
594	816	555
595	817	554
596	818	552
597	819	550
598	820	549
599	821	547
600	822	545
601	823	544
602	824	542
603	825	540
604	826	539
605	827	538
606	828	536
607	829	535
608	830	533
609	832	531
610	833	530
611	833	528
612	834	527
613	835	525
614	837	524
615	838	522
616	839	521
617	841	519
618	842	518
619	842	516
620	843	515
621	844	513
622	845	511
623	846	510
624	847	508
625	848	507
626	849	505
627	850	503
628	851	502
629	853	500
630	854	499
631	854	497
632	855	496
633	857	494
634	857	493
635	858	491
636	859	490
637	860	488
638	861	486
639	862	485
640	864	484
641	865	482
642	866	481
643	867	479
644	868	478
645	869	476
646	870	475
647	871	473
648	872	471
649	873	470
650	874	468
651	875	467
652	876	465
653	878	464
654	879	463
655	880	461
656	881	460
657	882	458
658	883	457
659	884	455
660	885	453
661	886	452
662	887	450
663	887	449
664	889	447
665	890	446
666	892	445
667	893	443
668	893	442
669	894	440
670	896	439
671	897	437
672	897	436
673	898	434
674	899	433
675	900	431
676	901	430
677	903	429
678	904	427
679	905	426
680	906	424
681	907	423
682	908	421
683	909	420
684	910	418
685	911	417
686	912	415
687	913	414
688	914	412
689	915	411
690	916	409
691	917	408
692	918	407
693	919	405
694	921	404
695	922	402
696	923	401
697	924	400
698	925	398
699	926	397
700	927	395
701	929	394
702	930	392
703	930	391
704	931	389
705	932	388
706	933	386
707	934	385
708	935	383
709	936	382
710	937	381
711	938	379
712	939	378
713	940	376
714	942	375
715	943	374
716	944	372
717	945	371
718	946	369
719	947	368
720	948	367
721	949	365
722	950	364
723	951	362
724	952	361
725	954	360
726	955	358
727	956	357
728	957	355
729	958	354
730	959	353
731	960	351
732	961	350
733	962	348
734	963	347
735	964	346
736	966	344
737	967	343
738	968	342
739	969	340
740	970	339
741	971	337
742	972	336
743	973	334
744	974	333
745	975	332
746	976	330
747	977	329
748	978	327
749	980	326
750	981	325
751	982	323
752	983	322
753	984	321
754	985	319
755	986	318
756	987	316
757	988	315
758	989	314
759	990	312
760	992	311
761	993	310
762	994	308
763	995	307
764	996	306
765	1000	305
766	1005	305
767	1007	304
768	1008	303
769	1010	301
770	1020	303
771	1022	301
772	1023	300
773	1024	299
774	1025	297
775	1026	296
776	1027	294
777	1028	293
778	1030	292
779	1031	290
780	1032	289
781	1034	288
782	1035	286
783	1036	285
784	1038	284
785	1039	282
786	1040	281
787	1041	280
788	1042	278
789	1043	277
790	1044	275
791	1045	274
792	1045	273
793	1046	271
794	1048	270
795	1049	269
796	1050	267
797	1051	266
798	1052	264
799	1053	263
800	1054	262
801	1055	260
802	1056	259
803	1057	257
804	1058	256
805	1059	254
806	1060	253
807	1062	252
808	1063	251
809	1064	249
810	1065	248
811	1066	246
812	1067	245
813	1068	244
814	1069	242
815	1070	241
816	1071	239
817	1071	238
818	1072	237
819	1074	235
820	1075	234
821	1076	233
822	1077	231
823	1078	230
824	1079	229
825	1080	227
826	1081	226
827	1082	224
828	1083	223
829	1084	222
830	1085	220
831	1087	219
832	1088	218
833	1089	216
834	1090	215
835	1091	214
836	1092	212
837	1093	211
838	1094	210
839	1095	208
840	1096	207
841	1097	205
842	1098	204
843	1100	203
844	1101	202
845	1102	200
846	1103	199
847	1104	197
848	1105	196
849	1106	195
850	1107	193
851	1109	192
852	1110	191
853	1111	190
854	1113	188
855	1114	187
856	1115	186
857	1116	184
858	1117	183
859	1118	182
860	1119	180
861	1120	179
862	1121	178
863	1122	176
864	1123	175
865	1125	174
866	1127	172
867	1128	171
868	1129	170
869	1130	168
870	1131	167
871	1132	166
872	1132	164
873	1133	163
874	1134	162
875	1135	160
876	1136	159
877	1138	158
878	1139	156
879	1140	155
880	1141	154
881	1142	152
882	1143	151
883	1144	150
884	1145	148
885	1146	147
886	1147	146
887	1148	144
888	1149	143
889	1150	142
890	1152	140
891	1153	139
892	1154	138
893	1155	136
894	1156	135
895	1157	134
896	1158	132
897	1159	131
898	1160	130
899	1161	129
900	1162	127
901	1163	126
902	1165	125
903	1166	123
904	1167	122
905	1167	121
906	1169	119
907	1170	118
908	1170	117
909	1171	115
910	1172	114
911	1173	113
912	1174	111
913	1176	110
914	1177	109
915	1178	108
916	1179	106
917	1180	105
918	1181	104
919	1182	102
920	1183	101
921	1184	100
922	1185	98
923	1186	97
924	1187	96
925	1188	95
926	1190	93
927	1191	92
928	1192	91
929	1193	89
930	1194	88
931	1195	87
932	1196	85
933	1197	84
934	1197	83
935	1198	81
936	1199	80
937	1200	79
938	1202	78
939	1203	76
940	1204	75
941	1205	74
942	1206	72
943	1207	71
944	1208	70
945	1209	69
946	1210	67
947	1211	66
948	1212	65
949	1213	63
950	1215	62
951	1216	61
952	1217	60
953	1218	58
954	1219	57
955	1220	56
956	1221	54
957	1222	53
958	1223	52
959	1224	51
960	1225	49
961	1227	48
962	1228	47
963	1228	45
964	1229	44
965	1230	43
966	1231	42
967	1232	40
968	1233	39
969	1234	38
970	1235	36
971	1236	35
972	1238	34
973	1239	33
974	1240	31
975	1241	30
976	1242	29
977	1243	27
978	1244	26
979	1245	25
980	1246	24
981	1247	22
982	1248	21
983	1249	20
984	1250	19
985	1252	17
986	1253	16
987	1254	15
988	1255	13
989	1256	12
990	1257	11
991	1258	10
992	1259	8
993	1260	7
994	1261	6
995	1262	5
996	1264	3
997	1266	2
998	1266	1
999	1267	0
